,i_bias_m45,i_bias_m25,i_bias_0,i_bias_p25,i_bias_p50,i_bias_p75,i_bias_p100,i_bias_p120,i_bias_spread
0,1.3360827405048267e-05,1.2537941627806852e-05,1.1601686830276953e-05,1.0765351958912445e-05,1.0021536806430998e-05,9.361024064054632e-06,8.774364145072727e-06,8.352184093491276e-06,5.541509163457815e-06
1,9.714372498218928e-06,9.108159422094139e-06,8.424618266225398e-06,7.819256558666324e-06,7.284868600564557e-06,6.813467503814967e-06,6.397287317291495e-06,6.099297742012884e-06,4.006655350583192e-06
2,1.2390929396355969e-05,1.1622561901032947e-05,1.0750775951099178e-05,9.974033508704203e-06,9.284697679039027e-06,8.67367667179152e-06,8.131830081586713e-06,7.742392343757138e-06,5.14582532175872e-06
3,1.5263816202419903e-05,1.4329187058099973e-05,1.3262362443112001e-05,1.230637820363132e-05,1.1453731708476551e-05,1.0694595658542518e-05,1.0018691687780775e-05,9.531268938780726e-06,6.338547503168339e-06
4,9.714372498218928e-06,9.108159422094139e-06,8.424618266225398e-06,7.819256558666324e-06,7.284868600564557e-06,6.813467503814967e-06,6.397287317291495e-06,6.099297742012884e-06,4.006655350583192e-06
5,1.2390929396355969e-05,1.1622561901032947e-05,1.0750775951099178e-05,9.974033508704203e-06,9.284697679039027e-06,8.67367667179152e-06,8.131830081586713e-06,7.742392343757138e-06,5.14582532175872e-06
6,1.5263816202419903e-05,1.4329187058099973e-05,1.3262362443112001e-05,1.230637820363132e-05,1.1453731708476551e-05,1.0694595658542518e-05,1.0018691687780775e-05,9.531268938780726e-06,6.338547503168339e-06
7,9.568652502508162e-06,8.981218698411126e-06,8.31713867070982e-06,7.72753779358205e-06,7.205945520331837e-06,6.744984645681998e-06,6.337375978965084e-06,6.04515802908096e-06,3.903190572823389e-06
8,1.2188803612013928e-05,1.1446251238665199e-05,1.0601312775714997e-05,9.846396533659668e-06,9.174845368976593e-06,8.57838456290855e-06,8.048529233067916e-06,7.667186449695316e-06,5.002565514969809e-06
9,1.4997324877761522e-05,1.4096335809739345e-05,1.306460617371106e-05,1.2137256978170291e-05,1.1308028046164311e-05,1.0568130831408376e-05,9.908123064579886e-06,9.4314606980434e-06,6.150536400266507e-06
10,9.568652502508162e-06,8.981218698411126e-06,8.31713867070982e-06,7.72753779358205e-06,7.205945520331837e-06,6.744984645681998e-06,6.337375978965084e-06,6.04515802908096e-06,3.903190572823389e-06
11,1.2188803612013928e-05,1.1446251238665199e-05,1.0601312775714997e-05,9.846396533659668e-06,9.174845368976593e-06,8.57838456290855e-06,8.048529233067916e-06,7.667186449695316e-06,5.002565514969809e-06
12,1.4997324877761522e-05,1.4096335809739345e-05,1.306460617371106e-05,1.2137256978170291e-05,1.1308028046164311e-05,1.0568130831408376e-05,9.908123064579886e-06,9.4314606980434e-06,6.150536400266507e-06
13,1.100527973859022e-05,1.0314779186705813e-05,9.534520307101957e-06,8.842184490203609e-06,8.230068997135065e-06,7.689387775344049e-06,7.2114854190214274e-06,6.868970583181336e-06,4.582439941211345e-06
14,1.3925929376846594e-05,1.3059831746496648e-05,1.2074979661738366e-05,1.1195840589985507e-05,1.0414483799580866e-05,9.72107123391447e-06,9.105544850317497e-06,8.662800829322184e-06,5.823723386529392e-06
15,1.7057222517941118e-05,1.6011259606105184e-05,1.481458619068657e-05,1.3740204876391154e-05,1.2780599947476465e-05,1.1925297267840448e-05,1.1163099977957855e-05,1.0613081451980272e-05,7.122292225440651e-06
16,1.100527973859022e-05,1.0314779186705813e-05,9.534520307101957e-06,8.842184490203609e-06,8.230068997135065e-06,7.689387775344049e-06,7.2114854190214274e-06,6.868970583181336e-06,4.582439941211345e-06
17,1.3925929376846594e-05,1.3059831746496648e-05,1.2074979661738366e-05,1.1195840589985507e-05,1.0414483799580866e-05,9.72107123391447e-06,9.105544850317497e-06,8.662800829322184e-06,5.823723386529392e-06
18,1.7057222517941118e-05,1.6011259606105184e-05,1.481458619068657e-05,1.3740204876391154e-05,1.2780599947476465e-05,1.1925297267840448e-05,1.1163099977957855e-05,1.0613081451980272e-05,7.122292225440651e-06
19,1.08246536478977e-05,1.0157610350217786e-05,9.401648458099282e-06,8.728977540200572e-06,8.132816939023522e-06,7.605145010976354e-06,7.1379163069367e-06,6.802584228934452e-06,4.453358586998075e-06
20,1.3677472240733854e-05,1.2843367771484492e-05,1.1891755694145783e-05,1.103961228256529e-05,1.0280231925119576e-05,9.604795731376968e-06,9.004061848925084e-06,8.571296650282689e-06,5.646521038720449e-06
21,1.673126638960523e-05,1.572684062059981e-05,1.4573432425406547e-05,1.3534299502401652e-05,1.2603483306524502e-05,1.1771805049452421e-05,1.1029107091314868e-05,1.0492276216649654e-05,6.890828260576181e-06
22,1.08246536478977e-05,1.0157610350217786e-05,9.401648458099282e-06,8.728977540200572e-06,8.132816939023522e-06,7.605145010976354e-06,7.1379163069367e-06,6.802584228934452e-06,4.453358586998075e-06
23,1.3677472240733854e-05,1.2843367771484492e-05,1.1891755694145783e-05,1.103961228256529e-05,1.0280231925119576e-05,9.604795731376968e-06,9.004061848925084e-06,8.571296650282689e-06,5.646521038720449e-06
24,1.673126638960523e-05,1.572684062059981e-05,1.4573432425406547e-05,1.3534299502401652e-05,1.2603483306524502e-05,1.1771805049452421e-05,1.1029107091314868e-05,1.0492276216649654e-05,6.890828260576181e-06
25,1.0217326835341381e-05,9.579397380582493e-06,8.859609700705712e-06,8.221717958022721e-06,7.658267072281603e-06,7.160942001661954e-06,6.7216331107188305e-06,6.4069316275640995e-06,4.222571215932863e-06
26,1.2999014990114376e-05,1.2193626488573235e-05,1.1279069042436351e-05,1.0463569066185368e-05,9.739336911626437e-06,9.096988566054992e-06,8.527041371664248e-06,8.117213591533954e-06,5.4031721410328994e-06
27,1.5986124894684644e-05,1.500902351624529e-05,1.3892598223014755e-05,1.2891248047124362e-05,1.1997455198833404e-05,1.1201161824138616e-05,1.0491764430969445e-05,9.979947208174753e-06,6.6398298076778345e-06
28,1.0217326835341381e-05,9.579397380582493e-06,8.859609700705712e-06,8.221717958022721e-06,7.658267072281603e-06,7.160942001661954e-06,6.7216331107188305e-06,6.4069316275640995e-06,4.222571215932863e-06
29,1.2999014990114376e-05,1.2193626488573235e-05,1.1279069042436351e-05,1.0463569066185368e-05,9.739336911626437e-06,9.096988566054992e-06,8.527041371664248e-06,8.117213591533954e-06,5.4031721410328994e-06
30,1.5986124894684644e-05,1.500902351624529e-05,1.3892598223014755e-05,1.2891248047124362e-05,1.1997455198833404e-05,1.1201161824138616e-05,1.0491764430969445e-05,9.979947208174753e-06,6.6398298076778345e-06
31,1.0056278087842962e-05,9.439170827618197e-06,8.7409455455789e-06,8.12050581928502e-06,7.571217792455206e-06,7.085445351323383e-06,6.6556197370989065e-06,6.347303297571719e-06,4.107969774461767e-06
32,1.2775696034745147e-05,1.1998956412310766e-05,1.111415856370747e-05,1.0322828369324761e-05,9.618276511477405e-06,8.992032131948272e-06,8.43534278151626e-06,8.03446285874502e-06,5.244463240403698e-06
33,1.5691235107848574e-05,1.4751599731779922e-05,1.3674188938211662e-05,1.2704622277828683e-05,1.183679183331076e-05,1.1061809627801731e-05,1.037000915488052e-05,9.87009798449379e-06,6.4310464862630285e-06
34,1.0056278087842962e-05,9.439170827618197e-06,8.7409455455789e-06,8.12050581928502e-06,7.571217792455206e-06,7.085445351323383e-06,6.6556197370989065e-06,6.347303297571719e-06,4.107969774461767e-06
35,1.2775696034745147e-05,1.1998956412310766e-05,1.111415856370747e-05,1.0322828369324761e-05,9.618276511477405e-06,8.992032131948272e-06,8.43534278151626e-06,8.03446285874502e-06,5.244463240403698e-06
36,1.5691235107848574e-05,1.4751599731779922e-05,1.3674188938211662e-05,1.2704622277828683e-05,1.183679183331076e-05,1.1061809627801731e-05,1.037000915488052e-05,9.87009798449379e-06,6.4310464862630285e-06
37,1.1530965949004868e-05,1.0810533537338552e-05,9.995348172243132e-06,9.271068019109503e-06,8.62996261548565e-06,8.063078148959813e-06,7.561530720717454e-06,7.201776459798982e-06,4.7948552836654275e-06
38,1.4545700436161043e-05,1.3646559054120056e-05,1.2622463481861587e-05,1.1706878414856568e-05,1.0892043151375214e-05,1.0168070076067113e-05,9.524739374280419e-06,9.061594608681533e-06,6.066350611479302e-06
39,1.777446296162461e-05,1.6692828387881832e-05,1.545298730563894e-05,1.4337875250186145e-05,1.3340394384161114e-05,1.2450176530489162e-05,1.1655957075114925e-05,1.1082299025375955e-05,7.393790427963491e-06
40,1.1530965949004868e-05,1.0810533537338552e-05,9.995348172243132e-06,9.271068019109503e-06,8.62996261548565e-06,8.063078148959813e-06,7.561530720717454e-06,7.201776459798982e-06,4.7948552836654275e-06
41,1.4545700436161043e-05,1.3646559054120056e-05,1.2622463481861587e-05,1.1706878414856568e-05,1.0892043151375214e-05,1.0168070076067113e-05,9.524739374280419e-06,9.061594608681533e-06,6.066350611479302e-06
42,1.777446296162461e-05,1.6692828387881832e-05,1.545298730563894e-05,1.4337875250186145e-05,1.3340394384161114e-05,1.2450176530489162e-05,1.1655957075114925e-05,1.1082299025375955e-05,7.393790427963491e-06
43,1.13329141660214e-05,1.0638171172141893e-05,9.849603331783318e-06,9.146875945582558e-06,8.523266414867477e-06,7.970655883862246e-06,7.480826502622743e-06,7.1289618985467914e-06,4.653360958009648e-06
44,1.4273835119102054e-05,1.340968304880929e-05,1.2421938227950726e-05,1.1535879901255099e-05,1.0745089533009822e-05,1.00407932922109e-05,9.413662108293988e-06,8.961450159911528e-06,5.872475946320252e-06
45,1.741795805386472e-05,1.6381796453589686e-05,1.518928788522861e-05,1.4112725177777243e-05,1.314672871586716e-05,1.2282352082871904e-05,1.1509467804911666e-05,1.0950243405337776e-05,7.140516951682209e-06
46,1.13329141660214e-05,1.0638171172141893e-05,9.849603331783318e-06,9.146875945582558e-06,8.523266414867477e-06,7.970655883862246e-06,7.480826502622743e-06,7.1289618985467914e-06,4.653360958009648e-06
47,1.4273835119102054e-05,1.340968304880929e-05,1.2421938227950726e-05,1.1535879901255099e-05,1.0745089533009822e-05,1.00407932922109e-05,9.413662108293988e-06,8.961450159911528e-06,5.872475946320252e-06
48,1.741795805386472e-05,1.6381796453589686e-05,1.518928788522861e-05,1.4112725177777243e-05,1.314672871586716e-05,1.2282352082871904e-05,1.1509467804911666e-05,1.0950243405337776e-05,7.140516951682209e-06
