,i_res,r_res,i_out
0,2.0425256198514103e-05,4895.899421191829,1.0219534258499752e-05
1,1.8158948563079373e-05,5506.926772363858,9.085030249970437e-06
2,1.0961037418756631e-05,9123.22403250618,5.484373680717452e-06
3,3.0031752138847814e-05,3329.8090480256797,1.5025041217718472e-05
4,1.7829856099736794e-05,5608.570222923797,8.921273190166466e-06
5,1.8158948563079373e-05,5506.926772363858,9.085030249970437e-06
6,1.0961037418756631e-05,9123.22403250618,5.484373680717452e-06
7,3.0031752138847814e-05,3329.8090480256797,1.5025041217718472e-05
8,1.7829856099736794e-05,5608.570222923797,8.921273190166466e-06
9,1.8158948563079373e-05,5506.926772363858,9.085030249970437e-06
10,1.0961037418756631e-05,9123.22403250618,5.484373680717452e-06
11,3.0031752138847814e-05,3329.8090480256797,1.5025041217718472e-05
12,1.7829856099736794e-05,5608.570222923797,8.921273190166466e-06
13,1.8158948563079373e-05,5506.926772363858,9.085030249970437e-06
14,1.0961037418756631e-05,9123.22403250618,5.484373680717452e-06
15,3.0031752138847814e-05,3329.8090480256797,1.5025041217718472e-05
16,1.7829856099736794e-05,5608.570222923797,8.921273190166466e-06
17,2.0824977047118832e-05,4801.926060890192,1.0419323007620101e-05
18,1.2442230932405011e-05,8037.143864574661,6.225844470015129e-06
19,3.386635942022313e-05,2952.782693857714,1.6944315221391184e-05
20,1.9969114558303783e-05,5007.733302747612,9.992255810632705e-06
21,2.0824977047118832e-05,4801.926060890192,1.0419323007620101e-05
22,1.2442230932405011e-05,8037.143864574661,6.225844470015129e-06
23,3.386635942022313e-05,2952.782693857714,1.6944315221391184e-05
24,1.9969114558303783e-05,5007.733302747612,9.992255810632705e-06
25,2.0824977047118832e-05,4801.926060890192,1.0419323007620101e-05
26,1.2442230932405011e-05,8037.143864574661,6.225844470015129e-06
27,3.386635942022313e-05,2952.782693857714,1.6944315221391184e-05
28,1.9969114558303783e-05,5007.733302747612,9.992255810632705e-06
29,2.0824977047118832e-05,4801.926060890192,1.0419323007620101e-05
30,1.2442230932405011e-05,8037.143864574661,6.225844470015129e-06
31,3.386635942022313e-05,2952.782693857714,1.6944315221391184e-05
32,1.9969114558303783e-05,5007.733302747612,9.992255810632705e-06
33,1.9164763642176835e-05,5217.909381356788,9.588272838847796e-06
34,1.1535036516510192e-05,8669.240002566892,5.7716037963028945e-06
35,3.155164062894836e-05,3169.407295678021,1.578545259953509e-05
36,1.8699929610307533e-05,5347.613712132869,9.356636842895865e-06
37,1.9164763642176835e-05,5217.909381356788,9.588272838847796e-06
38,1.1535036516510192e-05,8669.240002566892,5.7716037963028945e-06
39,3.155164062894836e-05,3169.407295678021,1.578545259953509e-05
40,1.8699929610307533e-05,5347.613712132869,9.356636842895865e-06
41,1.9164763642176835e-05,5217.909381356788,9.588272838847796e-06
42,1.1535036516510192e-05,8669.240002566892,5.7716037963028945e-06
43,3.155164062894836e-05,3169.407295678021,1.578545259953509e-05
44,1.8699929610307533e-05,5347.613712132869,9.356636842895865e-06
45,1.9164763642176835e-05,5217.909381356788,9.588272838847796e-06
46,1.1535036516510192e-05,8669.240002566892,5.7716037963028945e-06
47,3.155164062894836e-05,3169.407295678021,1.578545259953509e-05
48,1.8699929610307533e-05,5347.613712132869,9.356636842895865e-06
49,2.1892965195164742e-05,4567.677293073389,1.0953690754705982e-05
50,1.3070161820686032e-05,7651.014683057013,6.5400811790340015e-06
51,3.539748824250063e-05,2825.0592051877065,1.7710370135885495e-05
52,2.0889786847857364e-05,4787.028260666856,1.0452961463276362e-05
53,2.1892965195164742e-05,4567.677293073389,1.0953690754705982e-05
54,1.3070161820686032e-05,7651.014683057013,6.5400811790340015e-06
55,3.539748824250063e-05,2825.0592051877065,1.7710370135885495e-05
56,2.0889786847857364e-05,4787.028260666856,1.0452961463276362e-05
57,2.1892965195164742e-05,4567.677293073389,1.0953690754705982e-05
58,1.3070161820686032e-05,7651.014683057013,6.5400811790340015e-06
59,3.539748824250063e-05,2825.0592051877065,1.7710370135885495e-05
60,2.0889786847857364e-05,4787.028260666856,1.0452961463276362e-05
61,2.1892965195164742e-05,4567.677293073389,1.0953690754705982e-05
62,1.3070161820686032e-05,7651.014683057013,6.5400811790340015e-06
63,3.539748824250063e-05,2825.0592051877065,1.7710370135885495e-05
64,2.0889786847857364e-05,4787.028260666856,1.0452961463276362e-05
