,vioff
0,285.07152823044106
1,291.8533708845117
2,290.79498534948345
3,289.7926022883746
4,297.0133452722792
5,288.63833396003116
6,292.41240957704014
7,291.16363890840194
8,293.96494153179543
9,290.5015352532967
10,290.9602396092548
11,294.4952879154992
12,295.59700363646147
13,290.9074590811196
14,292.8374414874187
15,286.3677346633256
16,290.9800274234156
17,285.1286067298335
18,290.1702847577296
19,295.83749797496796
20,293.1891932309952
21,293.29514085498005
22,291.9252720584153
23,291.87845146619435
24,287.5314973400745
25,290.0732891237483
26,294.0930620546204
27,288.9401156961567
28,290.58432537749667
29,284.7432353303071
30,296.01880989954714
31,293.67270900298496
32,296.4538919971238
33,294.91504361943225
34,282.7574482130088
35,292.7836653949862
36,293.5691910316568
37,294.29648815874305
38,290.6821049989457
39,292.60484260443775
40,297.9494759131799
41,289.2151999956599
42,292.5431180225367
43,292.19723167185043
44,279.68008718077823
45,286.63203960100327
46,297.9095931501173
47,294.7898055525154
48,286.36366443743833
49,296.10861092691044
50,294.7662064088594
51,292.7184486837375
52,290.84162764685703
53,291.2850270628483
54,292.45066895629947
55,290.49360788174386
56,298.1784687766977
57,294.12927654886244
58,290.5504651888945
59,291.9533460315462
60,287.6504992433705
61,286.25628532750363
62,292.43546445795
63,290.23269324962956
64,294.53759289440774
65,294.4326548647731
66,294.71794437528615
67,293.5276833888679
68,295.773018137678
69,288.13377835334734
70,294.50809866617675
71,293.4190830904604
72,286.16897724211304
73,292.20586947891996
74,290.99028607877517
75,285.626390514637
76,291.2459576215409
77,291.5438340232097
78,291.41744870238506
79,296.17459821695064
80,293.1782308463782
81,302.1429751195788
82,290.93476027590475
83,289.9903058682991
84,290.2956704980003
85,293.96774508924045
86,286.89584572535443
87,290.74669308291556
88,290.8311906078862
89,287.9316665756021
90,288.68263906328514
91,291.1332466779346
92,288.87019955390036
93,296.3038185337742
94,292.46757337239296
95,281.43932837883256
96,288.1633670165907
97,289.3235484065929
98,297.6729322344275
99,293.78575647177126
100,290.1341769449555
101,291.4081731502381
102,286.0140648519312
103,288.8320439599782
104,299.3056697063855
105,287.1805805329363
106,289.3351844973943
107,294.986096925347
108,290.4614386364744
109,287.48878988221065
110,297.83278376387943
111,289.8446321808231
112,292.76867625660236
113,288.10528050331936
114,285.27856002980343
115,289.47852749056835
116,291.14294106458607
117,292.5830968649977
118,295.25853313474465
119,293.4284961427981
120,292.19234772888245
121,289.79434242866284
122,291.1676592340197
123,290.6453734206802
124,286.48927845793025
125,293.27105132146585
126,290.35788652816217
127,293.8919762238739
128,290.9008481408979
129,297.15751292522424
130,289.8394520725109
131,290.7774424539003
132,288.6295532952592
133,286.53218068377913
134,297.34213006040136
135,298.0493965958061
136,302.7923606260237
137,292.8380529299116
138,286.478762029815
139,293.6947881787679
140,296.43310172051537
141,290.2612985167932
142,299.6742824759488
143,280.1065732176352
144,286.2006613148143
145,294.3445150788912
146,291.79632107254696
147,290.7960525646194
148,286.05482134701333
149,285.5488025232161
150,291.97170015962837
151,291.38693246720743
152,294.1299422032907
153,292.0584581815317
154,283.96228648356845
155,298.1260895698196
156,290.66106405751094
157,294.37562693265176
158,292.9261301089824
159,293.8804669404102
160,299.00825719776714
161,302.58986345813514
162,291.52668302736896
163,286.18957381382984
164,293.4480247137693
165,289.0160113490936
166,293.00935249601145
167,285.0366645718068
168,288.8009432701477
169,289.73995325218414
170,294.25438570215834
171,289.93716787860416
172,295.6304017126422
173,292.4834948421026
174,292.8830747328475
175,290.0158415200358
176,292.98912244952413
177,294.96430924985515
178,294.5722027485611
179,296.1691057478098
