,vioff
0,255.01792386050818
1,252.08061071626778
2,255.4349511519059
3,258.1060805732094
4,258.5564812072137
5,261.42322816939094
6,253.48580931413568
7,256.76279974117773
8,254.7597786481807
9,256.9565662674435
10,257.2774483135923
11,256.0230717833248
12,254.801841687465
13,255.39131346866975
14,256.45837876111705
15,257.68624363275217
16,253.9784644836421
17,259.8031586562314
18,254.06164706362955
19,256.84112377273453
20,256.1981950551153
21,254.71859237474033
22,255.90346459971175
23,260.8936516065594
24,254.78229947695561
25,253.06729545845343
26,257.89383352457827
27,260.5591986126212
28,253.39617159489077
29,261.2672081417192
30,254.60061764628568
31,260.06673247083074
32,250.33154063936976
33,260.9270478453003
34,254.80866425247072
35,253.7479596555767
36,253.48349225944045
37,253.1232843063428
38,255.05422578317405
39,252.2004796005262
40,255.1169715337568
41,252.07572275591522
42,252.6622393290895
43,256.04140666821394
44,255.2791454524045
45,259.86738075975194
46,253.86666285355633
47,258.61159809485355
48,260.89964227767683
49,254.19068655484807
50,261.40183750048016
51,259.57411350044964
52,252.15630430681273
53,253.40936460752675
54,250.29707292961191
55,258.6108764150677
56,258.5318833715328
57,254.73393765933608
58,256.7085400500516
59,255.94434889144642
60,254.80438356687387
61,259.29389306386514
62,263.11164435890635
63,256.5574263331694
64,263.3446060629411
65,254.648005696826
66,263.872509976205
67,254.3691146636983
68,257.782963457688
69,260.7969652862248
70,265.2138581955152
71,254.50772499042165
72,249.55592041108653
73,249.28857622092704
74,253.24052902261838
75,257.47320710741616
76,258.5181709410981
77,249.73917396238937
78,256.77872427302816
79,260.01143981770883
80,252.73632888622006
81,256.404986371758
82,250.69316878374775
83,255.0711867714689
84,253.49678570126335
85,256.84678970922835
86,253.05517541508462
87,255.35248047591315
88,258.61437467075007
89,250.08925085648397
90,256.1105615762128
91,253.70860113122217
92,257.3092356368561
93,255.9669823027912
94,252.87538595763485
95,258.5084160042704
96,256.4186321009996
97,256.27954142094865
98,255.31682816925263
99,257.31396022042554
100,255.0857463795814
101,262.7471100517805
102,261.985183060064
103,253.58201731479232
104,262.144162064246
105,257.52508106750605
106,253.9171928497418
107,253.56423118375926
108,254.62846670340457
109,263.4655785719391
110,257.58533343977626
111,253.85217308321708
112,252.69291415514584
113,256.69694568098726
114,250.89506952729147
115,260.7665134154203
116,255.1620309144486
117,248.92773238209668
118,259.234297368752
119,253.44647138616918
120,252.8535263577334
121,257.33466291653787
122,253.20380647311157
123,253.59504887705947
124,257.6963915818171
125,253.2280617067985
126,258.5968687436555
127,256.23457641710945
128,251.6971362052635
129,262.14993530469866
130,249.08489288541975
131,253.9720790808226
132,256.9552354060287
133,259.53241654510174
134,251.577849547017
135,255.77897508895492
136,254.09140619523393
137,263.0835604026774
138,253.5707738342365
139,255.60701339720455
140,255.37492559202641
141,257.8604888047801
142,260.2336114424027
143,255.44365698120197
144,258.85404656760977
145,255.85723203407778
146,254.815205206388
147,258.19899580755236
148,255.5101701780622
149,256.17184208898686
150,259.53506867470776
151,261.11848168816607
152,251.65002365655573
153,256.7820207256151
154,257.4292974727313
155,255.8699832328136
156,261.3257685846643
157,258.94857443324656
158,255.25895610277163
159,257.45040051193416
160,251.07926253450523
161,254.04215042618856
162,259.05222305763795
163,251.57708250004933
164,259.44560131506967
165,261.6662490219198
166,252.53558994045463
167,257.6559978331101
168,256.07279299508724
169,253.6862396966533
170,255.15908079867953
171,251.91428087349797
172,251.46205163449397
173,251.7564243082041
174,259.1174092203161
175,263.53855407134193
176,261.05604733754546
177,261.31541703195023
178,259.81242954489244
179,257.3260381918567
180,253.06916640248886
181,253.77242642502694
182,255.06527328274734
183,252.69846491233008
184,254.46215500126036
185,261.43704827603614
186,250.3844364775334
187,257.2428947090968
188,253.28424373488883
189,254.48082158029757
190,251.75887824094627
191,251.4268869576566
192,255.38272884517954
193,254.70256306557982
194,264.42219216185714
195,255.6791505381596
196,246.7862319354791
197,263.2769500718974
198,260.4885174567609
199,257.20760034715283
200,257.07854262366425
201,255.77140466342453
202,259.1451414738184
203,254.62497577088956
204,262.30403876594
205,261.17211948547384
206,252.97892521933622
207,256.07706351018913
208,259.3862886210207
209,252.214536535196
210,253.92861006527332
211,251.34584078622095
212,256.0554827460939
213,253.49527735676583
214,258.34642665339703
215,256.1483339862822
216,258.07053780373093
217,254.95812630106403
218,254.0527076201997
219,250.24555402143926
220,259.34254002122316
221,254.51709254603415
222,255.4245017152718
223,257.7177280016691
224,250.7653249676387
225,260.2809762368905
226,252.0558741278625
227,262.04380967463186
228,262.1310494472826
229,257.1963506357707
230,256.39493045958136
231,256.05032704938213
232,252.4364728521017
233,258.791500823023
234,263.0976451252767
235,257.51841019974904
236,249.84605487111884
237,262.4376981287204
238,253.78798418046227
239,256.7011221268897
240,257.4186365820365
241,254.74553049435463
242,256.2158174551146
243,253.80231466107185
244,254.3133135238535
245,259.1525261368139
246,257.25649190062677
247,255.69231680681247
248,259.60086349909113
249,259.56593964687295
250,252.66561103601822
251,256.1195963390985
252,254.6439854848602
253,254.08054774947578
254,264.09481625437684
255,257.62912013555695
256,255.71584401447956
257,258.07576764045604
258,256.1715642031145
259,253.94029185844863
260,257.8160396029785
261,246.25081337617723
262,257.8722223634233
263,253.8016977929173
264,258.9974922188295
265,257.7970449012453
266,255.8237921808267
267,260.49620607986446
268,260.41420062330525
269,251.8700962521014
270,258.3513129712975
271,257.59458524973195
272,254.88274622821666
273,255.56784163081164
274,253.94938280874803
275,262.62076413781045
276,253.5765519865136
277,258.0099032212716
278,248.15217153648663
279,265.4803418501604
280,255.9004212714706
281,250.76835744149
282,255.58539499225338
283,255.45873104337804
284,257.26528970463636
285,255.45195312909684
286,259.01025202721416
287,254.83907435749512
288,262.5398614011299
289,255.27330860998774
290,255.35307831983752
291,249.16523756489596
292,253.5863155448115
293,252.7739414373529
294,255.58675699834734
295,249.63778189807962
296,259.4923925230688
297,254.9468208983167
298,254.8873538947274
299,249.53226258412866
